,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,2021-09-13 18:05:14,2021-09-10, MSFT,Hogan Kathleen T,"EVP, HR",S - Sale,$298.68,"-20,000","183,988",-10%,"-$5,973,540",,,,
1,,2021-09-13 18:03:54,2021-09-10, MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$298.82,"-10,000","97,023",-9%,"-$2,988,176",,,,
2,E,2021-09-03 18:05:42,2021-09-01, MSFT,Hood Amy,"EVP, CFO",S - Sale,$303.08,"-60,000","463,259",-11%,"-$18,184,980",,,,
3,,2021-09-01 20:12:28,2021-09-01, MSFT,Nadella Satya,CEO,S - Sale,$303.28,"-75,573","1,669,375",-4%,"-$22,920,037",,,,
4,M,2021-05-14 18:09:23,2021-05-12, MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$243.01,"-3,914","87,897",-4%,"-$951,151",,,,
5,,2021-05-11 18:02:45,2021-05-10, MSFT,Smith Bradford L,Pres,S - Sale,$250.27,"-8,000","646,408",-1%,"-$2,002,161",,,,
6,,2021-05-10 18:09:59,2021-05-07, MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$252.66,"-6,086","91,811",-6%,"-$1,537,711",,,,
7,,2021-03-11 18:04:46,2021-03-10, MSFT,Walmsley Emma N,Dir,P - Purchase,$236.80,"+4,300","5,026",+592%,"+$1,018,240",,,,
8,,2021-03-03 18:09:52,2021-03-02, MSFT,Nadella Satya,CEO,S - Sale,$234.81,"-278,694","1,504,329",-16%,"-$65,440,051",,,,
9,,2021-02-01 18:05:30,2021-01-28, MSFT,Courtois Jean Philippe,EVP,S - Sale,$239.60,"-18,358","900,697",-2%,"-$4,398,520",,,,
10,,2020-12-11 18:17:05,2020-12-09, MSFT,Hogan Kathleen T,"EVP, HR",S - Sale,$212.43,"-30,000","189,064",-14%,"-$6,372,801",,,,
11,,2020-11-06 17:54:29,2020-11-05, MSFT,Nadella Satya,CEO,S - Sale,$222.52,"-104,500","1,392,573",-7%,"-$23,253,330",,,,
12,,2020-11-06 17:52:12,2020-11-05, MSFT,Smith Bradford L,Pres,S - Sale,$222.58,"-200,000","708,501",-22%,"-$44,515,472",,,,
13,M,2020-09-11 18:05:11,2020-09-09, MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$209.80,"-30,000","98,943",-23%,"-$6,294,048",,,,
14,,2020-09-09 18:23:23,2020-09-08, MSFT,Walmsley Emma N,Dir,S - Sale,$206.51,-42,414,-9%,"-$8,673",,,,
15,A,2020-09-08 14:12:29,2020-09-01, MSFT,Nadella Satya,CEO,S - Sale,$226.13,"-83,572","1,463,818",-5%,"-$18,898,358",,,,
16,,2020-09-04 17:49:16,2020-09-03, MSFT,Hood Amy,"EVP, CFO",S - Sale,$218.14,"-80,000","452,720",-15%,"-$17,451,200",,,,
17,E,2020-09-02 17:31:34,2020-09-01, MSFT,Nadella Satya,CEO,S - Sale,$27.06,"-83,572","1,463,818",-5%,"-$2,261,327",,,,
18,,2020-08-26 18:02:42,2020-08-25, MSFT,Courtois Jean Philippe,EVP,S - Sale,$213.59,"-15,014","852,266",-2%,"-$3,206,771",,,,
19,,2020-08-18 17:58:08,2020-08-17, MSFT,Hogan Kathleen T,"EVP, HR",S - Sale,$209.90,"-30,871",176,-99%,"-$6,479,764",,,,
20,,2020-08-07 17:55:50,2020-08-06, MSFT,Courtois Jean Philippe,EVP,S - Sale,$215.00,"-15,140","867,280",-2%,"-$3,255,100",,,,
21,,2020-06-08 18:38:01,2020-06-08, MSFT,Walmsley Emma N,Dir,S - Sale,$186.05,-49,293,-14%,"-$9,117",,,,
22,,2020-05-04 18:00:50,2020-05-01, MSFT,Johnson Margaret L,"EVP, Business Development",S - Sale,$176.08,"-35,000","306,193",-10%,"-$6,162,800",,,,
23,,2020-05-04 17:58:27,2020-05-01, MSFT,Brod Frank H,Chief Accounting Officer,S - Sale,$176.94,"-3,000","57,136",-5%,"-$530,811",,,,
24,,2020-03-04 18:23:25,2020-03-03, MSFT,Walmsley Emma N,Dir,S - Sale,$164.58,-54,151,-26%,"-$8,887",,,,
25,,2020-03-04 18:18:53,2020-03-03, MSFT,Nadella Satya,CEO,S - Sale,$168.47,"-280,174","1,349,105",-17%,"-$47,200,996",,,,
26,,2020-03-04 18:03:45,2020-03-03, MSFT,Brod Frank H,Chief Accounting Officer,S - Sale,$173.80,"-5,000","60,136",-8%,"-$869,000",,,,
27,,2020-02-04 18:17:27,2020-02-04, MSFT,Courtois Jean Philippe,EVP,S - Sale,$179.55,"-18,000","889,292",-2%,"-$3,231,810",,,,
28,,2019-12-09 18:12:28,2019-12-05, MSFT,Johnson Margaret L,"EVP, Business Development",S - Sale,$150.01,"-35,000","345,150",-9%,"-$5,250,462",,,,
29,,2019-12-02 18:26:32,2019-08-01, MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$138.06,"-3,372","133,317",-2%,"-$465,542",,,,
30,M,2019-11-07 17:59:55,2019-11-06, MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$144.58,"-10,000","111,444",-8%,"-$1,445,771",,,,
31,M,2019-11-05 17:59:21,2019-11-04, MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$144.59,"-5,000","121,444",-4%,"-$722,925",,,,
32,M,2019-10-30 18:05:58,2019-10-29, MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$143.73,"-10,000","126,444",-7%,"-$1,437,291",,,,
33,M,2019-10-28 18:04:06,2019-10-25, MSFT,Courtois Jean Philippe,EVP,S - Sale,$142.89,"-24,419","907,292",-3%,"-$3,489,152",,,,
